System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,json in csv file,Link,Citations,Inclusion criteria,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training cost (2020 USD),Compute Sponsor Categorization
Named Entity Recognition model,Language,Named Entity Recognition model,University of Toronto,Academia,"Jimmy Lei Ba, Jamie Ryan Kiros, and Geoffrey E Hin- ton",21/07/2016,2016,Layer Normalization.,https://arxiv.org/abs/1607.06450,4.13E+03,Highly cited,,9.7E+16,,,,,8,,,,,,,Academia
DenseNet-264,Vision,Image classification,"Tsinghua University, Cornell, Facebook AI research",Industry - Academia Collaboration (Academia leaning),"G Huang, Z Liu, L Van Der Maaten",25/08/2016,2016,Densely Connected Convolutional Networks,https://arxiv.org/abs/1608.06993,1.78E+04,Highly cited,3.40E+07,,,,,,,,,,,,,Industry
,Vision,Face detection,"Chinese Academy of Sciences, Chinese University of Hong Kong",Academia,"Kaipeng Zhang, Zhanpeng Zhang, Zhifeng Li, Yu Qiao",26/08/2016,2016,Joint Face Detection and Alignment using Multitask cascaded convolutional networks,https://arxiv.org/abs/1604.02878,3.40E+03,Highly cited,,,,,,,,,,,,,,Academia
,Speech,,Google DeepMind,Industry,"A Oord, S Dieleman, H Zen, K Simonyan",12/09/2016,2016,WaveNet: A Generative Model for Raw Audio,https://arxiv.org/abs/1609.03499,3.12E+03,Highly cited,,,,,,,,,,,,,,Industry
,Recommendation,,Google,Industry,"Paul Covington, Jay Adams, and Emre Sargin",15/09/2016,2016,Deep Neural Networks for YouTube Recommendations,https://research.google/pubs/pub45530/,1.55E+03,Highly cited,,,,,,,,,,,,,,Industry
Stacked hourglass network,Vision,Pose estimation,University of Michigan,Academia,"Alejandro Newell, Kaiyu Yang, Jia Deng",17/09/2016,2016,Stacked Hourglass Networks for Human Pose Estimation,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_29,3.60E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,Image classification,Microsoft,Industry,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",17/09/2016,2016,Identity Mappings in Deep Residual Networks,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_38,6.89E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Action recognition,"ETH Zurich, The Chinese University of Hong Kong, Shenzhen Institute of Advanced Technology",Academia,"Limin Wang, Yuanjun Xiong, Zhe Wang, Yu Qiao, Dahua Lin, Xiaoou Tang, Luc Van Gool",17/09/2016,2016,Temporal Segment Networks: Towards Good Practices for Deep Action Recognition,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_2,2.62E+03,Highly cited,,,,,,,,,,,,,,Academia
MS-CNN,Vision,Object detection,"SVCL UC San Diego, IBM",Industry - Academia Collaboration,"Zhaowei Cai, Quanfu Fan, Rogerio S. Feris, Nuno Vasconcelos",17/09/2016,2016,A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_22,1.32E+03,Highly cited,,,,,,,,,,,,,,Industry
Wide Residual Network,Vision,Image classification,Université Paris-Est,Academia,"Sergey Zagoruyko, Nikos Komodakis",19/09/2016,2016,Wide Residual Networks,https://arxiv.org/abs/1605.07146,4.52E+03,Highly cited,,,,,,,,,,,,,,Academia
GNMT,Language,Translation,Google,Industry,"Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V. Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, Jeff Klingner, Apurva Shah, Melvin Johnson, Xiaobing Liu, Łukasz Kaiser, Stephan Gouws, Yoshikiyo Kato, Taku Kudo, Hideto Kazawa, Keith Stevens, George Kurian, Nishant Patil, Wei Wang, Cliff Young, Jason Smith, Jason Riesa, Alex Rudnick, Oriol Vinyals, Greg Corrado, Macduff Hughes, Jeffrey Dean",26/09/2016,2016,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,https://research.google/pubs/pub45610/,4.50E+03,Highly cited,2.78E+08,6.9E+21,,3.60E+08,,,,,,,,,,Industry
Xception,Vision,Image classification,Google,Industry,François Chollet,07/10/2016,2016,Xception: Deep Learning with Depthwise Separable Convolutions,https://arxiv.org/abs/1610.02357,5.84E+03,Highly cited,2.29E+07,4.4E+19,JFT,3.50E+08,,1.68E+10,,,,,,,,Industry
,,,Google DeepMind,Industry,"Alex Graves, Greg Wayne, Malcolm Reynolds, Tim Harley, Ivo Danihelka, Agnieszka Grabska-Barwińska, Sergio Gómez Colmenarejo, Edward Grefenstette, Tiago Ramalho, John Agapiou, Adrià Puigdomènech Badia, Karl Moritz Hermann, Yori Zwols, Georg Ostrovski, Adam Cain, Helen King, Christopher Summerfield, Phil Blunsom, Koray Kavukcuoglu & Demis Hassabis",12/10/2016,2016,Hybrid computing using a neural network with dynamic external memory,https://www.nature.com/articles/nature20101,1.24E+03,Highly cited,,,,,,,,,,,,,,Industry
NASv3 (CIFAR-10),Vision,,Google Brain,Industry,"Barret Zoph, Quoc V. Le",05/11/2016,2016,Neural Architecture Search with Reinforcement Learning,https://arxiv.org/abs/1611.01578,2.97E+03,Highly cited,3.74E+07,2.2E+21,,,39,,,,,,,,,Industry
ResNeXt-50,Vision,Image classification,"UC San Diego, Facebook",Industry - Academia Collaboration,"Saining Xie, Ross Girshick, Piotr Dollár, Zhuowen Tu, Kaiming He",16/11/2016,2016,Aggregated Residual Transformations for Deep Neural Networks,https://arxiv.org/abs/1611.05431,4.80E+03,Highly cited,2.50E+07,,,,,8.40E+09,,,,,,,,Industry
PolyNet,Vision,Image classification,The Chinese University of Hong Kong,Academia,"X Zhang, Z Li, C Change Loy",17/11/2016,2016,PolyNet: A Pursuit of Structural Diversity in Very Deep Networks,https://arxiv.org/abs/1611.05725,1.88E+02,,9.20E+07,,,,,,,,,,,,,Academia
RefineNet,Vision,Object detection,"University of Adelaide, Australian Centre for Robotic Vision",Industry - Academia Collaboration,"Guosheng Lin, Anton Milan, Chunhua Shen, Ian Reid",20/11/2016,2016,RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation,https://arxiv.org/abs/1611.06612v3,2.06E+03,Highly cited,,,,,,,,,,,,,,Industry
,,,UC Berkeley,Academia,"P Isola, JY Zhu, T Zhou",21/11/2016,2016,Image-to-Image Translation with Conditional Adversarial Networks,https://arxiv.org/abs/1611.07004,9.86E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,DeepMind,Industry,"J Kirkpatrick, R Pascanu",02/12/2016,2016,Overcoming catastrophic forgetting in neural networks,https://arxiv.org/abs/1612.00796,2.16E+03,Highly cited,,,,,,,,,,,,,,Industry
PointNet,Other,3d segmentation,Stanford,Academia,"CR Qi, H Su, K Mo, LJ Guibas",02/12/2016,2016,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,https://arxiv.org/abs/1612.00593,5.04E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,Image classification,OpenAI,Industry,"Tim Salimans, Ian Goodfellow, Wojciech Zaremba, Vicki Cheung, Alec Radford, Xi Chen",05/12/2016,2016,Improved Techniques for Training GANs,https://dl.acm.org/doi/10.5555/3157096.3157346,6.06E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,,"UT Austin, Google Inc, UC Berkeley",Industry - Academia Collaboration,"V Gulshan, L Peng, M Coram, MC Stumpe, D Wu",13/12/2016,2016,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,https://jamanetwork.com/journals/jama/article-abstract/2588763,3.54E+03,Highly cited,,,,,,,,,,,,,,Industry
YOLOv2,Vision,Object detection,"University of Washington, Allen Institute for AI",Industry - Academia Collaboration,"Joseph Redmon, Ali Farhadi",25/12/2016,2016,"YOLO9000: Better, Faster, Stronger",https://arxiv.org/abs/1612.08242,9.37E+03,Highly cited,5.10E+07,,,,,,,,,,,,,Industry
,Vision,Image super-resolution,Twitter,Industry,"Christian Ledig, Lucas Theis, Ferenc Huszar, Jose Caballero, Andrew Cunningham, Alejandro Acosta, Andrew Aitken, Alykhan Tejani, Johannes Totz, Zehan Wang, Wenzhe Shi",25/05/2017,2017,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,https://openaccess.thecvf.com/content_cvpr_2017/html/Ledig_Photo-Realistic_Single_Image_CVPR_2017_paper.html,7.18E+03,Highly cited,,,,,,,,,,,,,,Industry
Libratus,Games,Poker,Carnegie Mellon University,Academia,"N Brown, T Sandholm, S Machine",01/01/2017,2017,Libratus: The Superhuman AI for No-Limit Poker,https://www.cs.cmu.edu/~noamb/papers/17-IJCAI-Libratus.pdf,6.40E+01,SOTA improvement,,1.1E+21,,,,,3000000,,,,,,,Academia
AlphaGo Master,Games,Go,DeepMind,Industry,"D Silver, J Schrittwieser, K Simonyan, I Antonoglou",01/01/2017,2017,Mastering the game of Go without human knowledge,https://www.researchgate.net/publication/320473480_Mastering_the_game_of_Go_without_human_knowledge,5.81E+03,Highly cited,,1.5E+23,,,,,,,,,,,,Industry
DeepStack,Games,Poker,"University of Alberta, Charles University, Czech Technical University",Academia,"Matej Moravčík, Martin Schmid, Neil Burch, Viliam Lisý, Dustin Morrill, Nolan Bard, Trevor Davis, Kevin Waugh, Michael Johanson, Michael Bowling",06/01/2017,2017,DeepStack: Expert-Level Artificial Intelligence in No-Limit Poker,https://arxiv.org/abs/1701.01724,6.18E+02,,2.50E+06,1.5E+14,,1.00E+07,,,,,,,,,,Academia
MoE,Language,Language modelling / Machine translation,"Google Brain, Jagiellonian University, Cracow",Industry - Academia Collaboration (Industry leaning),"N Shazeer, A Mirhoseini, K Maziarz, A Davis",23/01/2017,2017,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,https://arxiv.org/abs/1701.06538,6.87E+02,,8.70E+09,9.4E+19,,1.00E+11,,,,,,,Sparse,,,Industry
,VIsion,Image super-resolution,"Harbin Institute of Technology, Hong Kong Polytechnic University, ULSee Inc., Xi’an Jiaotong University",Industry - Academia Collaboration (Academia leaning),"Kai Zhang, Wangmeng Zuo, Yunjin Chen, Deyu Meng, Lei Zhang",01/02/2017,2017,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,https://ieeexplore.ieee.org/abstract/document/7839189,4.00E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Image classification,"University of Toronto, Twitter",Industry - Academia Collaboration," Jake Snell, Kevin Swersky, Richard S. Zemel",15/03/2017,2017,Prototypical Networks for Few-shot Learning,https://arxiv.org/abs/1703.05175,3.57E+03,Highly cited,,,,,,,,,,,,,,Industry
Mask R-CNN,Vision,Image segmentation,Facebook AI Research,Industry,"Kaiming He, Georgia Gkioxari, Piotr Dollár, Ross Girshick",30/03/2017,2017,Mask R-CNN,https://arxiv.org/abs/1703.06870,1.50E+04,Highly cited,,,COCO,,,,352,195,,,,,,Industry
,Vision,Image generation,"Montreal Institute for learning Algorithms, Courant Institute of Mathematical Sciences",Academia,"Ishaan Gulrajani, Faruk Ahmed, Martin Arjovsky, Vincent Dumoulin, Aaron Courville",31/03/2017,2017,Improved Training of Wasserstein GANs,https://arxiv.org/abs/1704.00028,6.04E+03,Highly cited,,,,,,,,,,,,,,Academia
MobileNet,Vision,,Google Inc.,Industry,"AG Howard, M Zhu, B Chen, D Kalenichenko",17/04/2017,2017,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,https://arxiv.org/abs/1704.04861,9.19E+03,Highly cited,4.20E+06,,,,,1.14E+09,,,,,,,,Industry
,Vision,Image segmentation,"Google Inc., University King College, Johns Hopkins University",Industry - Academia Collaboration,"Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, Alan L. Yuille",27/04/2017,2017,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",https://ieeexplore.ieee.org/abstract/document/7913730,1.01E+04,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Action recognition,"DeepMind, University of Oxford",Industry - Academia Collaboration,"Joao Carreira, Andrew Zisserman",01/06/2017,2017,"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset",https://arxiv.org/abs/1705.07750,3.98E+03,Highly cited,,,,,,,,,,,,,,Industry
PointNet++,,3D segmentation,Stanford University,Academia,"Charles R. Qi, Li Yi, Hao Su, Leonidas J. Guibas",07/06/2017,2017,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,https://arxiv.org/abs/1706.02413,4.02E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,Image super-resolution,Seoul National University,Academia,"Bee Lim, Sanghyun Son, Heewon Kim, Seungjun Nah, Kyoung Mu Lee",10/06/2017,2017,Enhanced Deep Residual Networks for Single Image Super-Resolution,https://arxiv.org/abs/1707.02921,3.07E+03,Highly cited,,,,,,,,,,,,,,Academia
Transformer,Language,Translation,Google Brain ; Google Research,Industry,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",12/06/2017,2017,Attention Is All You Need,https://proceedings.neurips.cc/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf,2.52E+04,Highly cited,2.13E+08,7.4E+18,,3.60E+08,,5.40E+10,672,,,,,,,Industry
HRA,Games,Ms Pacman,Microsoft Maluuba,Industry - Academia Collaboration (Industry leaning),"H Van Seijen, M Fatemi, J Romoff, R Laroche",13/06/2017,2017,Hybrid Reward Architecture for Reinforcement Learning,https://arxiv.org/abs/1706.04208,1.68E+02,,,,,,,,,,,,,,,Industry
DeepLabV3,Vision,Semantic segmentation,Google Inc,Industry,"Liang-Chieh Chen, Yukun Zhu, George Papandreou, Florian Schroff, Hartwig Adam",17/06/2017,2017,Rethinking Atrous Convolution for Semantic Image Segmentation,https://arxiv.org/abs/1706.05587,3.90E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Image generation,Johannes Kepler University Linz,Academia,"Martin Heusel, Hubert Ramsauer, Thomas Unterthiner, Bernhard Nessler, Günter Klambauer, Sepp Hochreiter",26/06/2017,2017,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,https://arxiv.org/abs/1706.08500v1,4.17E+03,Highly cited,,,,,,,,,,,,,,Academia
NoisyNet-Dueling,Games,Atari Games,DeepMind,Industry,"M Fortunato, MG Azar, B Piot, J Menick",30/06/2017,2017,Noisy Networks for Exploration,https://arxiv.org/abs/1706.10295v3,4.80E+02,SOTA improvement,,,,,,,,,,,,,,Industry
ShuffleNet v1,Vision,,Megvii Inc,Industry,"X Zhang, X Zhou, M Lin, J Sun",03/07/2017,2017,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,https://arxiv.org/abs/1707.01083,2.78E+03,Highly cited,2.43E+06,,,,,1.40E+08,,,,,,,,Industry
NASNet-A,Vision,Image classification,Google Brain,Industry,"B Zoph, V Vasudevan, J Shlens",21/07/2017,2017,Learning Transferable Architectures for Scalable Image Recognition,https://arxiv.org/abs/1707.07012,3.10E+03,Highly cited,8.90E+07,,,,,,,,,,,,,Industry
,Vision,Image segmentation,Chinese University of Hong Kong,Industry - Academia Collaboration (Academia leaning),"Hengshuang Zhao, Jianping Shi, Xiaojuan Qi, Xiaogang Wang, Jiaya Jia",21/07/2017,2017,Pyramid Scene Parsing Network,https://ieeexplore.ieee.org/document/8100143,6.07E+03,Highly cited,,,,,,,,,,,,,,Industry
JFT,Vision,,"Google Research, CMU",Industry - Academia Collaboration,"ChenSun,AbhinavShrivastava,SaurabhSingh,andAbhinavGupta",04/08/2017,2017,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era.,https://arxiv.org/abs/1707.02968,1.14E+03,Highly cited,,4.8E+20,JFT-300M,3.00E+08,,,,,,,,,,Industry
RetinaNet-R50,Vision,Object detection,Facebook AI research,Industry,"TY Lin, P Goyal, R Girshick, K He",07/08/2017,2017,Focal loss for dense object detection,https://arxiv.org/abs/1708.02002,8.42E+03,Highly cited,3.40E+07,,,,,9.70E+10,,,,,,,,Industry
RetinaNet-R50,Vision,Object detection,Facebook AI research,Industry,"TY Lin, P Goyal, R Girshick, K He",07/08/2017,2017,Focal loss for dense object detection,https://arxiv.org/abs/1708.02002,8.42E+03,Highly cited,5.30E+07,,,,,1.27E+11,,,,,,,,Industry
OpenAI TI7 DOTA 1v1,Games,DOTA,OpenAI,Industry,"A Radford, K Narasimhan, T Salimans, I Sutskever",11/08/2017,2017,Dota 2 ,https://openai.com/five/,NA,,1.50E+08,6.0E+20,,,,,,,,,,,,Industry
,Vision,Image classification,"University of Guelph, Canadian Institute for Advanced Research and Vector Institute",Industry - Academia Collaboration," Terrance DeVries, Graham W. Taylor",15/08/2017,2017,Improved Regularization of Convolutional Neural Networks with Cutout,https://arxiv.org/abs/1708.04552,1.45E+03,Highly cited,,,,,,,,,,,,,3.50E+07,Industry
NeuMF (Pinterest),Recommendation,Collaborative filtering,"NUS, Columbia, Shandong University, Texas A&M",Academia,"X He, L Liao, H Zhang, L Nie, X Hu",16/08/2017,2017,Neural Collaborative Filtering,https://arxiv.org/abs/1708.05031,2.43E+03,Highly cited,,,,,,,,,,,,,,Academia
SENet (ImageNet),Vision,Image classification,Chinese Academy of Sciences ; University of Oxford,Academia,"Jie Hu, Li Shen, Samuel Albanie, Gang Sun, Enhua Wu",05/09/2017,2017,Squeeze-and-Excitation Networks,https://arxiv.org/abs/1709.01507,7.94E+03,Highly cited,2.81E+07,,ImageNet,,,3.87E+09,,,,,,,,Academia
AlphaGo Zero,Games,Go,DeepMind,Industry,"D Silver, J Schrittwieser, K Simonyan, I Antonoglou",19/10/2017,2017,Mastering the game of Go without human knowledge,https://www.researchgate.net/publication/320473480_Mastering_the_game_of_Go_without_human_knowledge,5.81E+03,Highly cited,4.64E+07,3.4E+23,,5.80E+09,,,,,,,,,,Industry
,Vision,Person re-identification,University of Technology Sydney,Academia,"Zhedong Zheng, Liang Zheng, Yi Yang",22/10/2017,2017,Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in vitro,https://arxiv.org/abs/1701.07717,1.40E+03,Highly cited,,,,,,,,,,,,,,Academia
CapsNet (MNIST),Vision,Character recognition,Google Brain,Industry,"S Sabour, N Frosst, GE Hinton",26/10/2017,2017,Dynamic Routing Between Capsules,https://arxiv.org/abs/1710.09829,2.74E+03,Highly cited,8.20E+06,,,,,,,,,,,,,Industry
CapsNet (MultiMNIST),Vision,Character recognition,Google Brain,Industry,"S Sabour, N Frosst, GE Hinton",26/10/2017,2017,Dynamic Routing Between Capsules,https://arxiv.org/abs/1710.09829,2.74E+03,Highly cited,1.14E+07,,,,,,,,,,,,,Industry
,Vision,Image generation,Nvidia,Industry,"Tero Karras, Timo Aila, Samuli Laine, Jaakko Lehtinen",27/10/2017,2017,"Progressive Growing of GANs for Improved Quality, Stability, and Variation",https://arxiv.org/abs/1710.10196,3.91E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Person re-identification,"Visual Computing Institute, Aachen University",Academia,"Alexander Hermans, Lucas Beyer, Bastian Leibe",21/11/2017,2017,In Defense of the Triplet Loss for Person Re-Identification,https://arxiv.org/abs/1703.07737,1.99E+03,Highly cited,,,,,,,,,,,,,,Academia
PNAS-net,Vision,Image classification,"Johns Hopkins University, Stanford, Google AI",Industry - Academia Collaboration (Industry leaning),"C Liu, B Zoph, M Neumann, J Shlens",02/12/2017,2017,Progressive Neural Architecture Search,https://arxiv.org/abs/1712.00559,1.15E+03,Highly cited,8.60E+07,,,,,,,,,,,,,Industry
PNASNet-5,,,"Johns Hopkins University, Stanford, Google AI",Industry - Academia Collaboration (Industry leaning),"C Liu, B Zoph, M Neumann, J Shlens",2/12/2017,2017,Progressive Neural Architecture Search,https://arxiv.org/abs/1712.00559,1.34E+03,Highly cited,,6.6E+19,Imagenet-1k,1.28E+06,,,,,,,,,,Industry
AlphaZero,Games,,DeepMind,Industry,"D Silver, T Hubert, J Schrittwieser, I Antonoglou",05/12/2017,2017,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,https://arxiv.org/abs/1712.01815,1.08E+03,Highly cited,,3.7E+22,,7.00E+05,,,,,,,,Score,,Industry
Refined Part Pooling,Vision,Person retrieval,"Tsinghua University, University of Technology Sydney, University of Texas at San Antonio",Academia,"Yifan Sun, Liang Zheng, Yi Yang, Qi Tian, Shengjin Wang",09/01/2018,2018,Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline),https://arxiv.org/abs/1711.09349,1.24E+03,Highly cited,,,,,,,,,,,,,,Academia
ULM-FiT,Language,Text classification,"University of San Francisco, Insight Centre NUI Galway",Industry - Academia Collaboration,"J Howard, S Ruder",18/01/2018,2018,Universal Language Model Fine-tuning for Text Classification,https://arxiv.org/abs/1801.06146,1.94E+03,Highly cited,,,,,,,,,,,,,,Industry
ELMo,Language,,AI2,Industry,"ME Peters, M Neumann, M Iyyer, M Gardner",01/02/2018,2018,Deep contextualized word representations,https://arxiv.org/abs/1802.05365,7.48E+03,Highly cited,9.40E+07,,,,,2.60E+10,,,,,,,,Industry
IMPALA,Games,Atari,DeepMind,Industry,"Lasse Espeholt, Hubert Soyer, Remi Munos, Karen Simonyan, Volodymir Mnih, Tom Ward, Yotam Doron, Vlad Firoiu, Tim Harley, Iain Dunning, Shane Legg, Koray Kavukcuoglu",05/02/2018,2018,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,https://arxiv.org/abs/1802.01561,6.75E+02,,1.60E+06,1.7E+20,,2.40E+11,,,,,,,,,,Industry
AmoebaNet-A,Vision,Image classification,Google Brain,Industry,"E Real, A Aggarwal, Y Huang, QV Le",05/02/2018,2018,Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,1.43E+03,Highly cited,8.70E+07,,,,,,,,,,,,,Industry
AmoebaNet-A,Vision,Image classification,Google Brain,Industry,"Esteban Real, Alok Aggarwal, Yanping Huang, Quoc V Le",05/02/2018,2018,Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,1.71E+03,Highly cited,,3.9E+20,Imagenet-1k,1.28E+06,,,,,,,,,,Industry
DeepLabV3+,Vision,Semantic segmentation,Google Inc.,Industry,"Liang-Chieh Chen, Yukun Zhu, George Papandreou, Florian Schroff, Hartwig Adam",07/02/2018,2018,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,https://arxiv.org/abs/1802.02611v3,5.37E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Image generation,"Preferred Networks Inc, Ritsumeikan University, National Institute of Informatics",Industry - Academia Collaboration,"Takeru Miyato, Toshiki Kataoka, Masanori Koyama, Yuichi Yoshida",16/02/2018,2018,Spectral Normalization for Generative Adversarial Networks,https://arxiv.org/abs/1802.05957,2.74E+03,Highly cited,,,,,,,,,,,,,,Industry
,Vision,Image super-resolution,"Northeastern University, University of Rochester",Academia," Yulun Zhang, Yapeng Tian, Yu Kong, Bineng Zhong, Yun Fu",24/02/2018,2018,Residual Dense Network for Image Super-Resolution,https://openaccess.thecvf.com/content_cvpr_2018/html/Zhang_Residual_Dense_Network_CVPR_2018_paper.html,1.78E+03,Highly cited,,,,,,,,,,,,,,Academia
Chinese - English translation,Language,Translation,Microsoft,Industry,"H Hassan, A Aue, C Chen, V Chowdhary",01/03/2018,2018,Achieving Human Parity on Automatic Chinese to English News Translation,https://www.microsoft.com/en-us/research/publication/achieving-human-parity-on-automatic-chinese-to-english-news-translation/,3.64E+02,,,,,,,,,,,,,,,Industry
Rotation,Drawing,Image completion,École des Ponts ParisTech,Academia,"Spyros Gidaris, Praveer Singh, Nikos Komodakis",21/03/2018,2018,Unsupervised Representation Learning by Predicting Image Rotations,https://arxiv.org/abs/1803.07728,1.16E+03,Highly cited,8.60E+07,,,,,,,,,,,,,Academia
YOLOv3,Vision,Object detection,University of Washington,Academia,"Joseph Redmon, Ali Farhadi",08/04/2018,2018,YOLOv3: An Incremental Improvement,https://arxiv.org/abs/1804.02767,7.71E+03,Highly cited,1.06E+08,5.1E+19,ImageNet,1.28E+06,,7.10E+10,,,,,,,,Academia
ResNeXt-101 32x48d,Vision,Image classification,Facebook,Industry,"D Mahajan, R Girshick",02/05/2018,2018,Exploring the Limits of Weakly Supervised Pretraining,https://arxiv.org/abs/1805.00932,6.19E+02,,8.29E+08,,,,,3.12E+10,,,,,,,,Industry
GPT,Language,,OpenAI,Industry,"A Radford, K Narasimhan, T Salimans, I Sutskever",01/06/2018,2018,Improving Language Understanding by Generative Pre-Training,https://openai.com/blog/language-unsupervised/,2.26E+03,Highly cited,1.17E+08,1.8E+19,BooksCorpus,1.00E+09,,3.00E+10,,,,,,,,Industry
MobileNetV2,Vision,,Google Inc.,Industry,"M Sandler, A Howard, M Zhu",18/06/2018,2018,MobileNetV2: Inverted Residuals and Linear Bottlenecks,https://ieeexplore.ieee.org/document/8578572,5.71E+03,Highly cited,3.40E+06,,,,,6.00E+08,,,,,,,,Industry
ShuffleNet v2,Vision,,"Tsinghua University, Megvii Inc",Industry - Academia Collaboration,"N Ma, X Zhang, HT Zheng",30/06/2018,2018,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design,https://arxiv.org/abs/1807.11164,1.41E+03,Highly cited,2.28E+06,,,,,3.00E+08,,,,,,,,Industry
Population-based DRL,Games,Capture the flag,DeepMind,Industry,"Max Jaderberg, Wojciech M. Czarnecki, Iain Dunning, Luke Marris, Guy Lever, Antonio Garcia Castaneda, Charles Beattie, Neil C. Rabinowitz, Ari S. Morcos, Avraham Ruderman, Nicolas Sonnerat, Tim Green, Louise Deason, Joel Z. Leibo, David Silver, Demis Hassabis, Koray Kavukcuoglu, Thore Graepel",03/07/2018,2018,Human-level performance in first-person multiplayer games with population-based deep reinforcement learning,https://arxiv.org/abs/1807.01281,4.34E+02,,1.22E+08,3.5E+19,,,,6.00E+10,,,,,,,,Industry
,Vision,Image super-resolution,Northeastern University,Academia," Yulun Zhang, Kunpeng Li, Kai Li, Lichen Wang, Bineng Zhong, Yun Fu",08/07/2018,2018,Image Super-Resolution Using Very Deep Residual Channel Attention Networks,https://openaccess.thecvf.com/content_ECCV_2018/html/Yulun_Zhang_Image_Super-Resolution_Using_ECCV_2018_paper.html,1.80E+03,Highly cited,,,,,,,,,,,,,,Academia
ESRGAN,Vision,Image super-resolution,"Chinese University of Hong Kong, Chinese Academy of Sciences, Nanyang Technological University",Academia,"Xintao Wang, Ke Yu, Shixiang Wu, Jinjin Gu, Yihao Liu, Chao Dong, Chen Change Loy, Yu Qiao, Xiaoou Tang",01/09/2018,2018,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,https://arxiv.org/abs/1809.00219,1.50E+03,Highly cited,,,,,,,,,,,,,,Academia
BigGAN-deep 512x512,Drawing,Image generation,"Heriot-Watt University, DeepMind",Industry - Academia Collaboration,"A Brock, J Donahue, K Simonyan",28/09/2018,2018,Large Scale GAN Training for High Fidelity Natural Image Synthesis,https://arxiv.org/abs/1809.11096,1.98E+03,Highly cited,1.13E+08,3.0E+21,JFT-300M,2.92E+08,,,,,,,,,,Industry
BERT-Large,Language,Next sentence prediction,Google AI,Industry,"J Devlin, MW Chang, K Lee, K Toutanova",11/10/2018,2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,https://arxiv.org/abs/1810.04805,2.38E+04,Highly cited,3.40E+08,2.9E+20,,3.30E+09,,7.90E+10,,,,,,,,Industry
